# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
grazioso	OPPOSITE_OF	dozzinale
grazioso	OPPOSITE_OF	grossolano
grazioso	OPPOSITE_OF	sgraziato
grosso	OPPOSITE_OF	sottile
grossolano	OPPOSITE_OF	grazioso
guaribile	OPPOSITE_OF	inguaribile
guerra	OPPOSITE_OF	pace
ideale	OPPOSITE_OF	reale
idoneità	OPPOSITE_OF	inidoneità
idoneo	OPPOSITE_OF	inidoneo
ignobile	OPPOSITE_OF	nobile
ignorante	OPPOSITE_OF	colto
ignoranza	OPPOSITE_OF	cognizione
ignoto	OPPOSITE_OF	noto
illegale	OPPOSITE_OF	legale
illeggibile	OPPOSITE_OF	leggibile
illegittimità	OPPOSITE_OF	legittimità
illegittimo	OPPOSITE_OF	legittimo
illimitato	OPPOSITE_OF	limitato
illogico	OPPOSITE_OF	logico
illusione	OPPOSITE_OF	delusione
illusione	OPPOSITE_OF	disillusione
imballare	OPPOSITE_OF	sballare
imbattibile	OPPOSITE_OF	battibile
imbruttire	OPPOSITE_OF	abbellire
imitabile	OPPOSITE_OF	inimitabile
immaginabile	OPPOSITE_OF	inimmaginabile
immateriale	OPPOSITE_OF	materiale
immersione	OPPOSITE_OF	emersione
immigrare	OPPOSITE_OF	emigrare
immigrato	OPPOSITE_OF	emigrato
immigrazione	OPPOSITE_OF	emigrazione
immobile	OPPOSITE_OF	mobile
immobile	OPPOSITE_OF	vago
immorale	OPPOSITE_OF	morale
immortale	OPPOSITE_OF	caduco
immortale	OPPOSITE_OF	effimero
immortale	OPPOSITE_OF	mortale
immortalità	OPPOSITE_OF	mortalità
immortalità	OPPOSITE_OF	morte
immutato	OPPOSITE_OF	mutato
impacchettare	OPPOSITE_OF	scartare
impalpabile	OPPOSITE_OF	palpabile
imparziale	OPPOSITE_OF	parziale
imparzialità	OPPOSITE_OF	parzialità
impaziente	OPPOSITE_OF	paziente
impazienza	OPPOSITE_OF	pazienza
impedire	OPPOSITE_OF	permettere
impenetrabile	OPPOSITE_OF	penetrabile
impensabile	OPPOSITE_OF	pensabile
impercettibile	OPPOSITE_OF	percettibile
imperdonabile	OPPOSITE_OF	compatibile
imperdonabile	OPPOSITE_OF	perdonabile
imperfetto	OPPOSITE_OF	perfetto
imperfezione	OPPOSITE_OF	perfezione
imperito	OPPOSITE_OF	perito
impersonale	OPPOSITE_OF	personale
impietoso	OPPOSITE_OF	pietoso
implacabile	OPPOSITE_OF	placabile
implicito	OPPOSITE_OF	esplicito
implosione	OPPOSITE_OF	esplosione
impolverare	OPPOSITE_OF	spolverare
impopolarità	OPPOSITE_OF	popolarità
importazione	OPPOSITE_OF	esportazione
impossibile	OPPOSITE_OF	fattibile
impossibile	OPPOSITE_OF	realizzabile
impotente	OPPOSITE_OF	onnipotente
impraticabilità	OPPOSITE_OF	fattibilità
impreciso	OPPOSITE_OF	preciso
imprescindibile	OPPOSITE_OF	prescindibile
imprevedibile	OPPOSITE_OF	prevedibile
imprevisto	OPPOSITE_OF	previsto
imprigionare	OPPOSITE_OF	scarcerare
improbabile	OPPOSITE_OF	probabile
improbabilità	OPPOSITE_OF	probabilità
improduttivo	OPPOSITE_OF	produttivo
improrogabile	OPPOSITE_OF	prorogabile
imprudente	OPPOSITE_OF	prudente
imprudenza	OPPOSITE_OF	prudenza
impunibile	OPPOSITE_OF	punibile
impuro	OPPOSITE_OF	puro
inabile	OPPOSITE_OF	abile
inabitabile	OPPOSITE_OF	abitabile
inaccettabile	OPPOSITE_OF	accettabile
inaccurato	OPPOSITE_OF	accurato
inadatto	OPPOSITE_OF	adatto
inadatto	OPPOSITE_OF	apposito
inadeguatezza	OPPOSITE_OF	adeguatezza
inadeguato	OPPOSITE_OF	apposito
inadempiente	OPPOSITE_OF	adempiente
inaffidabile	OPPOSITE_OF	affidabile
inaffidabilità	OPPOSITE_OF	affidabilità
inaffidabilità	OPPOSITE_OF	attendibilità
inalienabile	OPPOSITE_OF	alienabile
inalterato	OPPOSITE_OF	alterato
inammissibilità	OPPOSITE_OF	ammissibilità
inanimato	OPPOSITE_OF	animato
inappagato	OPPOSITE_OF	contento
inappagato	OPPOSITE_OF	pago
inapplicabile	OPPOSITE_OF	applicabile
inappropriato	OPPOSITE_OF	felice
inarrestabile	OPPOSITE_OF	arrestabile
inaspettato	OPPOSITE_OF	atteso
inattendibile	OPPOSITE_OF	attendibile
inattendibilità	OPPOSITE_OF	attendibilità
inatteso	OPPOSITE_OF	atteso
inattuabile	OPPOSITE_OF	attuabile
incandescente	OPPOSITE_OF	freddo
incandescente	OPPOSITE_OF	gelido
incandescente	OPPOSITE_OF	ghiacciato
incantevole	OPPOSITE_OF	brutto
incantevole	OPPOSITE_OF	orrendo
incapace	OPPOSITE_OF	capace
incapace	OPPOSITE_OF	perito
incarcerare	OPPOSITE_OF	scarcerare
incartare	OPPOSITE_OF	scartare
incassare	OPPOSITE_OF	sballare
incatenare	OPPOSITE_OF	sferrare
incertezza	OPPOSITE_OF	certezza
inclinato	OPPOSITE_OF	retto
incoerente	OPPOSITE_OF	coerente
incolore	OPPOSITE_OF	colorato
incolto	OPPOSITE_OF	colto
incominciare	OPPOSITE_OF	finire
incommestibile	OPPOSITE_OF	commestibile
incomparabile	OPPOSITE_OF	comparabile
incompatibile	OPPOSITE_OF	compatibile
incompetente	OPPOSITE_OF	competente
incompetente	OPPOSITE_OF	perito
incompleto	OPPOSITE_OF	completo
incomprensibile	OPPOSITE_OF	comprensibile
inconcepibile	OPPOSITE_OF	concepibile
inconciliabile	OPPOSITE_OF	conciliabile
incondizionato	OPPOSITE_OF	condizionato
inconfondibile	OPPOSITE_OF	confondibile
inconfutabile	OPPOSITE_OF	confutabile
inconsapevole	OPPOSITE_OF	consapevole
inconsueto	OPPOSITE_OF	consueto
incontaminato	OPPOSITE_OF	contaminato
incontestabile	OPPOSITE_OF	contestabile
incontrollabile	OPPOSITE_OF	controllabile
incoraggiante	OPPOSITE_OF	scoraggiante
incoraggiare	OPPOSITE_OF	scoraggiare
incorretto	OPPOSITE_OF	corretto
incostituzionale	OPPOSITE_OF	costituzionale
incostituzionalità	OPPOSITE_OF	costituzionalità
incredulo	OPPOSITE_OF	credente
incredulo	OPPOSITE_OF	credulo
incremento	OPPOSITE_OF	calo
incremento	OPPOSITE_OF	diminuzione
incrollabile	OPPOSITE_OF	instabile
incrollabile	OPPOSITE_OF	vacillante
incurabile	OPPOSITE_OF	curabile
indebito	OPPOSITE_OF	debito
indebito	OPPOSITE_OF	dovuto
indebito	OPPOSITE_OF	lecito
indebito	OPPOSITE_OF	meritato
indeciso	OPPOSITE_OF	deciso
indefinibile	OPPOSITE_OF	definibile
indefinito	OPPOSITE_OF	definito
indelebile	OPPOSITE_OF	cancellabile
indelebile	OPPOSITE_OF	delebile
inderogabile	OPPOSITE_OF	derogabile
inderogabile	OPPOSITE_OF	facoltativo
indescrivibile	OPPOSITE_OF	descrivibile
indesiderabile	OPPOSITE_OF	desiderabile
indeterminato	OPPOSITE_OF	determinato
indicare	OPPOSITE_OF	controindicare
indicibile	OPPOSITE_OF	dicibile
indifeso	OPPOSITE_OF	difeso
indifferente	OPPOSITE_OF	differente
indifferenziato	OPPOSITE_OF	differenziato
indimenticabile	OPPOSITE_OF	dimenticabile
indimostrabile	OPPOSITE_OF	dimostrabile
indipendente	OPPOSITE_OF	dipendente
indiretto	OPPOSITE_OF	diretto
indiscrezione	OPPOSITE_OF	discrezione
indiscusso	OPPOSITE_OF	discusso
indiscutibile	OPPOSITE_OF	discutibile
indispensabile	OPPOSITE_OF	superfluo
indisponibile	OPPOSITE_OF	disponibile
indissolubile	OPPOSITE_OF	dissolubile
indistinto	OPPOSITE_OF	distinto
indivisibile	OPPOSITE_OF	divisibile
indiviso	OPPOSITE_OF	diviso
indocile	OPPOSITE_OF	docile
indolore	OPPOSITE_OF	doloroso
indubbio	OPPOSITE_OF	dubbio
ineccepibile	OPPOSITE_OF	criticabile
ineccepibile	OPPOSITE_OF	discutibile
ineccepibile	OPPOSITE_OF	eccepibile
ineffettivo	OPPOSITE_OF	effettivo
inefficace	OPPOSITE_OF	effettivo
inefficace	OPPOSITE_OF	efficace
inefficacia	OPPOSITE_OF	efficacia
inefficiente	OPPOSITE_OF	efficiente
inefficienza	OPPOSITE_OF	efficienza
ineleggibile	OPPOSITE_OF	eleggibile
ineludibile	OPPOSITE_OF	eludibile
inequivocabile	OPPOSITE_OF	ambiguo
inequivocabile	OPPOSITE_OF	equivocabile
inesatto	OPPOSITE_OF	esatto
inesauribile	OPPOSITE_OF	esauribile
inesigibile	OPPOSITE_OF	esigibile
inesistente	OPPOSITE_OF	esistente
inesistenza	OPPOSITE_OF	esistenza
inesperto	OPPOSITE_OF	esperto
inessenziale	OPPOSITE_OF	essenziale
inestimabile	OPPOSITE_OF	stimabile
inevitabile	OPPOSITE_OF	evitabile
infallibile	OPPOSITE_OF	fallibile
infattibile	OPPOSITE_OF	fattibile
infedele	OPPOSITE_OF	devoto
infedele	OPPOSITE_OF	fedele
infedele	OPPOSITE_OF	fidato
infedeltà	OPPOSITE_OF	fedeltà
infelice	OPPOSITE_OF	felice
infelicità	OPPOSITE_OF	felicità
inferiorità	OPPOSITE_OF	superiorità
infernale	OPPOSITE_OF	paradisiaco
infertile	OPPOSITE_OF	fertile
infiammare	OPPOSITE_OF	sfiammare
infinito	OPPOSITE_OF	finito
inflessibile	OPPOSITE_OF	flessibile
influente	OPPOSITE_OF	ininfluente
infondato	OPPOSITE_OF	fondato
informale	OPPOSITE_OF	formale
informale	OPPOSITE_OF	ufficiale
informare	OPPOSITE_OF	disinformare
infrequente	OPPOSITE_OF	frequente
ingenuo	OPPOSITE_OF	sveglio
ingestibile	OPPOSITE_OF	gestibile
ingiustificabile	OPPOSITE_OF	comprensibile
ingiustificabile	OPPOSITE_OF	giustificabile
ingiustificato	OPPOSITE_OF	giustificato
ingiusto	OPPOSITE_OF	giusto
ingrassare	OPPOSITE_OF	dimagrire
ingrassare	OPPOSITE_OF	sgrassare
ingrato	OPPOSITE_OF	grato
inguaribile	OPPOSITE_OF	guaribile
inidoneità	OPPOSITE_OF	idoneità
inidoneo	OPPOSITE_OF	apposito
inidoneo	OPPOSITE_OF	idoneo
inimitabile	OPPOSITE_OF	imitabile
inimmaginabile	OPPOSITE_OF	concepibile
inimmaginabile	OPPOSITE_OF	immaginabile
ininfluente	OPPOSITE_OF	influente
inintelligibile	OPPOSITE_OF	intelligibile
ininterrotto	OPPOSITE_OF	interrotto
ininterrotto	OPPOSITE_OF	momentaneo
ininterrotto	OPPOSITE_OF	transitorio
iniziale	OPPOSITE_OF	finale
innaturale	OPPOSITE_OF	naturale
innavigabile	OPPOSITE_OF	navigabile
innegabile	OPPOSITE_OF	negabile
innescare	OPPOSITE_OF	disinnescare
innocuo	OPPOSITE_OF	dannoso
innocuo	OPPOSITE_OF	nocivo
innocuo	OPPOSITE_OF	nocuo
inopportunità	OPPOSITE_OF	opportunità
inopportuno	OPPOSITE_OF	opportuno
inorganico	OPPOSITE_OF	organico
inosservabile	OPPOSITE_OF	osservabile
inossidabile	OPPOSITE_OF	ossidabile
inquieto	OPPOSITE_OF	calmo
inquieto	OPPOSITE_OF	quieto
inquieto	OPPOSITE_OF	rilassato
inquietudine	OPPOSITE_OF	calma
inquietudine	OPPOSITE_OF	placidità
inquietudine	OPPOSITE_OF	serenità
inscindibile	OPPOSITE_OF	scindibile
inscindibile	OPPOSITE_OF	separabile
insensato	OPPOSITE_OF	ragionevole
insensato	OPPOSITE_OF	saggio
insensato	OPPOSITE_OF	sensato
insensibile	OPPOSITE_OF	sensibile
inseparabile	OPPOSITE_OF	separabile
insicuro	OPPOSITE_OF	sicuro
insoddisfacente	OPPOSITE_OF	soddisfacente
insoddisfatto	OPPOSITE_OF	pago
insoddisfazione	OPPOSITE_OF	soddisfazione
insofferente	OPPOSITE_OF	paziente
insonnia	OPPOSITE_OF	sonno
insopportabile	OPPOSITE_OF	sopportabile
insopportabile	OPPOSITE_OF	tollerabile
insormontabile	OPPOSITE_OF	sormontabile
insormontabile	OPPOSITE_OF	superabile
insostituibile	OPPOSITE_OF	sostituibile
insozzare	OPPOSITE_OF	pulire
inspiegabile	OPPOSITE_OF	spiegabile
instabile	OPPOSITE_OF	incrollabile
instabilità	OPPOSITE_OF	stabilità
installare	OPPOSITE_OF	disinstallare
installazione	OPPOSITE_OF	disinstallazione
instancabile	OPPOSITE_OF	stancabile
insuccesso	OPPOSITE_OF	successo
insufficiente	OPPOSITE_OF	abbastanza
insufficiente	OPPOSITE_OF	sufficiente
insuscettibile	OPPOSITE_OF	suscettibile
intangibile	OPPOSITE_OF	tangibile
integralista	OPPOSITE_OF	relativista
intelligibile	OPPOSITE_OF	inintelligibile
intenzionale	OPPOSITE_OF	casuale
intenzionale	OPPOSITE_OF	preterintenzionale
interno	OPPOSITE_OF	esterno
interrotto	OPPOSITE_OF	ininterrotto
intestazione	OPPOSITE_OF	piè
intoccabile	OPPOSITE_OF	toccabile
intollerabile	OPPOSITE_OF	sopportabile
intollerabile	OPPOSITE_OF	tollerabile
intollerante	OPPOSITE_OF	tollerante
intolleranza	OPPOSITE_OF	tolleranza
intrinseco	OPPOSITE_OF	estrinseco
introduttivo	OPPOSITE_OF	conclusivo
introduzione	OPPOSITE_OF	coda
introvabile	OPPOSITE_OF	reperibile
introvabile	OPPOSITE_OF	trovabile
inusuale	OPPOSITE_OF	consueto
inusuale	OPPOSITE_OF	normale
inusuale	OPPOSITE_OF	ordinario
inutile	OPPOSITE_OF	effettivo
inutile	OPPOSITE_OF	utile
inutilità	OPPOSITE_OF	necessità
inutilità	OPPOSITE_OF	utilità
inutilizzabile	OPPOSITE_OF	utilizzabile
inutilizzare	OPPOSITE_OF	utilizzare
invalicabile	OPPOSITE_OF	valicabile
invalido	OPPOSITE_OF	rato
invalido	OPPOSITE_OF	valido
invalutabile	OPPOSITE_OF	valutabile
invariabile	OPPOSITE_OF	variabile
inverificabile	OPPOSITE_OF	verificabile
inverosimiglianza	OPPOSITE_OF	attendibilità
inverosimile	OPPOSITE_OF	verosimile
invincibile	OPPOSITE_OF	battibile
invincibile	OPPOSITE_OF	vincibile
inviolabile	OPPOSITE_OF	violabile
invisibile	OPPOSITE_OF	visibile
invivibile	OPPOSITE_OF	vivibile
involontario	OPPOSITE_OF	volontario
involtare	OPPOSITE_OF	svoltare
involuzione	OPPOSITE_OF	evoluzione
invulnerabile	OPPOSITE_OF	vulnerabile
ipertensione	OPPOSITE_OF	ipotensione
ipotensione	OPPOSITE_OF	ipertensione
irragionevole	OPPOSITE_OF	ragionevole
irrazionale	OPPOSITE_OF	ragionevole
irrazionale	OPPOSITE_OF	razionale
irrazionalità	OPPOSITE_OF	razionalità
irreale	OPPOSITE_OF	reale
irrealistico	OPPOSITE_OF	realistico
irrealizzabile	OPPOSITE_OF	fattibile
irrealizzabile	OPPOSITE_OF	possibile
irrealizzabile	OPPOSITE_OF	realizzabile
irrealizzabilità	OPPOSITE_OF	fattibilità
irregolarità	OPPOSITE_OF	regolarità
irreparabile	OPPOSITE_OF	riparabile
irresistibile	OPPOSITE_OF	controllabile
irresistibile	OPPOSITE_OF	resistibile
irresponsabile	OPPOSITE_OF	responsabile
irresponsabilità	OPPOSITE_OF	responsabilità
irreversibile	OPPOSITE_OF	reversibile
irrevocabile	OPPOSITE_OF	revocabile
irriconoscibile	OPPOSITE_OF	riconoscibile
irrigidire	OPPOSITE_OF	rilassare
irrilevante	OPPOSITE_OF	rilevante
irrimediabile	OPPOSITE_OF	rimediabile
irrintracciabile	OPPOSITE_OF	rintracciabile
irrisolto	OPPOSITE_OF	risolto
irrispettoso	OPPOSITE_OF	rispettoso
irrito	OPPOSITE_OF	rato
irriverente	OPPOSITE_OF	reverente
irrobustire	OPPOSITE_OF	accasciare
larghezza	OPPOSITE_OF	altezza
larghezza	OPPOSITE_OF	parsimonia
larghezza	OPPOSITE_OF	penuria
largo	OPPOSITE_OF	aderente
largo	OPPOSITE_OF	breve
largo	OPPOSITE_OF	stretto
lasso	OPPOSITE_OF	energico
lasso	OPPOSITE_OF	gagliardo
lasso	OPPOSITE_OF	riposato
lecito	OPPOSITE_OF	indebito
legale	OPPOSITE_OF	illegale
leggero	OPPOSITE_OF	pesante
leggibile	OPPOSITE_OF	illeggibile
legittimità	OPPOSITE_OF	illegittimità
legittimo	OPPOSITE_OF	illegittimo
lento	OPPOSITE_OF	rapido
lento	OPPOSITE_OF	svelto
lento	OPPOSITE_OF	veloce
lettera	OPPOSITE_OF	spirito
levante	OPPOSITE_OF	calante
levare	OPPOSITE_OF	posare
levare	OPPOSITE_OF	tramontare
levarsi	OPPOSITE_OF	tramontare
libero	OPPOSITE_OF	occupato
licenziare	OPPOSITE_OF	nominare
limitato	OPPOSITE_OF	illimitato
limpido	OPPOSITE_OF	torbido
liquefare	OPPOSITE_OF	vaporizzare
liquido	OPPOSITE_OF	solido
litigioso	OPPOSITE_OF	paziente
lodevole	OPPOSITE_OF	biasimevole
lodevole	OPPOSITE_OF	disprezzabile
lodevole	OPPOSITE_OF	riprovevole
logico	OPPOSITE_OF	illogico
lontano	OPPOSITE_OF	vicino
lordo	OPPOSITE_OF	netto
luminoso	OPPOSITE_OF	scuro
lungo	OPPOSITE_OF	breve
lungo	OPPOSITE_OF	corto
macchiare	OPPOSITE_OF	pulire
macroeconomico	OPPOSITE_OF	microeconomico
maggioranza	OPPOSITE_OF	minoranza
maggiorenne	OPPOSITE_OF	minorile
maggioritario	OPPOSITE_OF	minoritario
magro	OPPOSITE_OF	grasso
malagevole	OPPOSITE_OF	agevole
maldestro	OPPOSITE_OF	destro
male	OPPOSITE_OF	bene
maligno	OPPOSITE_OF	benigno
malo	OPPOSITE_OF	buono
malvagio	OPPOSITE_OF	buono
malvagità	OPPOSITE_OF	bontà
mancino	OPPOSITE_OF	destro
mancino	OPPOSITE_OF	diritto
mancino	OPPOSITE_OF	dritto
manifestare	OPPOSITE_OF	nascondere
maschile	OPPOSITE_OF	femminile
mascolino	OPPOSITE_OF	femminile
materiale	OPPOSITE_OF	immateriale
materno	OPPOSITE_OF	paterno
matriarcale	OPPOSITE_OF	patriarcale
meglio	OPPOSITE_OF	peggiore
memoria	OPPOSITE_OF	oblio
meridionale	OPPOSITE_OF	settentrionale
meriggio	OPPOSITE_OF	mezzanotte
meritato	OPPOSITE_OF	indebito
meschino	OPPOSITE_OF	adeguato
meschino	OPPOSITE_OF	felice
meschino	OPPOSITE_OF	fortunato
mettere	OPPOSITE_OF	togliere
mezzanotte	OPPOSITE_OF	meriggio
mezzanotte	OPPOSITE_OF	mezzodì
mezzanotte	OPPOSITE_OF	mezzogiorno
mezzodì	OPPOSITE_OF	mezzanotte
mezzogiorno	OPPOSITE_OF	mezzanotte
miasma	OPPOSITE_OF	profumo
microeconomico	OPPOSITE_OF	macroeconomico
minoranza	OPPOSITE_OF	maggioranza
minore	OPPOSITE_OF	primario
minorile	OPPOSITE_OF	maggiorenne
minoritario	OPPOSITE_OF	maggioritario
miserabile	OPPOSITE_OF	abbiente
miserabile	OPPOSITE_OF	agiato
miserabile	OPPOSITE_OF	benestante
misero	OPPOSITE_OF	beato
misero	OPPOSITE_OF	felice
misero	OPPOSITE_OF	fortunato
mite	OPPOSITE_OF	accanito
mittente	OPPOSITE_OF	consegnatario
mittente	OPPOSITE_OF	destinatario
mittente	OPPOSITE_OF	ricevente
mobile	OPPOSITE_OF	immobile
moderno	OPPOSITE_OF	antico
moltiplicare	OPPOSITE_OF	dividere
molto	OPPOSITE_OF	poco
molto	OPPOSITE_OF	scarso
momentaneo	OPPOSITE_OF	ininterrotto
monopolio	OPPOSITE_OF	concorrenza
morale	OPPOSITE_OF	immorale
mortale	OPPOSITE_OF	immortale
mortalità	OPPOSITE_OF	immortalità
morte	OPPOSITE_OF	immortalità
morte	OPPOSITE_OF	vita
mortificare	OPPOSITE_OF	rivitalizzare
mortificare	OPPOSITE_OF	sopravvalutare
mortificare	OPPOSITE_OF	vivificare
morto	OPPOSITE_OF	vivente
morto	OPPOSITE_OF	vivo
muovere	OPPOSITE_OF	fermare
mutato	OPPOSITE_OF	immutato
nascondere	OPPOSITE_OF	manifestare
naturale	OPPOSITE_OF	artificiale
naturale	OPPOSITE_OF	innaturale
navigabile	OPPOSITE_OF	innavigabile
necessità	OPPOSITE_OF	inutilità
negabile	OPPOSITE_OF	innegabile
negatività	OPPOSITE_OF	positività
negativo	OPPOSITE_OF	affermativo
negativo	OPPOSITE_OF	positivo
negazione	OPPOSITE_OF	affermazione
nero	OPPOSITE_OF	bianco
netto	OPPOSITE_OF	lordo
netto	OPPOSITE_OF	sudicio
nobile	OPPOSITE_OF	ignobile
nocivo	OPPOSITE_OF	innocuo
nocuo	OPPOSITE_OF	innocuo
noioso	OPPOSITE_OF	appassionante
noioso	OPPOSITE_OF	avvincente
noioso	OPPOSITE_OF	divertente
nominare	OPPOSITE_OF	licenziare
nord	OPPOSITE_OF	sud
normale	OPPOSITE_OF	anomalo
normale	OPPOSITE_OF	anormale
normale	OPPOSITE_OF	inusuale
noto	OPPOSITE_OF	ignoto
notte	OPPOSITE_OF	giorno
notturno	OPPOSITE_OF	diurno
nudo	OPPOSITE_OF	vestito
nuovo	OPPOSITE_OF	antico
nuovo	OPPOSITE_OF	vecchio
obbligatorio	OPPOSITE_OF	facoltativo
obbligatorio	OPPOSITE_OF	opzionale
oblio	OPPOSITE_OF	memoria
occidente	OPPOSITE_OF	oriente
occupato	OPPOSITE_OF	disoccupato
occupato	OPPOSITE_OF	libero
occupazione	OPPOSITE_OF	disoccupazione
odiare	OPPOSITE_OF	amare
odiare	OPPOSITE_OF	prediligere
odio	OPPOSITE_OF	adorazione
odio	OPPOSITE_OF	amore
odioso	OPPOSITE_OF	adorabile
odioso	OPPOSITE_OF	amabile
odioso	OPPOSITE_OF	caro
odorare	OPPOSITE_OF	putire
offendere	OPPOSITE_OF	difendere
offerta	OPPOSITE_OF	domanda
oggettività	OPPOSITE_OF	soggettività
oggettivo	OPPOSITE_OF	soggettivo
olezzare	OPPOSITE_OF	putire
olire	OPPOSITE_OF	putire
omogeneo	OPPOSITE_OF	eterogeneo
omologo	OPPOSITE_OF	eterologo
onesto	OPPOSITE_OF	disonesto
onestà	OPPOSITE_OF	disonestà
onnipotente	OPPOSITE_OF	impotente
opportunità	OPPOSITE_OF	inopportunità
opportuno	OPPOSITE_OF	inopportuno
opportuno	OPPOSITE_OF	sbagliato
opzionale	OPPOSITE_OF	obbligatorio
ordinario	OPPOSITE_OF	inusuale
ordinario	OPPOSITE_OF	straordinario
ordine	OPPOSITE_OF	disordine
organico	OPPOSITE_OF	inorganico
oriente	OPPOSITE_OF	occidente
originale	OPPOSITE_OF	copia
orizzontale	OPPOSITE_OF	verticale
orrendo	OPPOSITE_OF	incantevole
orrendo	OPPOSITE_OF	stupendo
orribile	OPPOSITE_OF	stupendo
orzare	OPPOSITE_OF	poggiare
osservabile	OPPOSITE_OF	inosservabile
ossidabile	OPPOSITE_OF	inossidabile
ostacolare	OPPOSITE_OF	agevolare
osteggiare	OPPOSITE_OF	affiancare
ottimismo	OPPOSITE_OF	pessimismo
ottimistico	OPPOSITE_OF	pessimistico
ottimo	OPPOSITE_OF	pessimo
ouverture	OPPOSITE_OF	coda
pace	OPPOSITE_OF	guerra
pago	OPPOSITE_OF	inappagato
pago	OPPOSITE_OF	insoddisfatto
pago	OPPOSITE_OF	scontento
palpabile	OPPOSITE_OF	impalpabile
paradisiaco	OPPOSITE_OF	infernale
parco	OPPOSITE_OF	dissoluto
parco	OPPOSITE_OF	sprecone
parsimonia	OPPOSITE_OF	larghezza
partenza	OPPOSITE_OF	arrivo
partenza	OPPOSITE_OF	entrata
particolare	OPPOSITE_OF	generale
partire	OPPOSITE_OF	arrivare
parziale	OPPOSITE_OF	imparziale
parzialità	OPPOSITE_OF	imparzialità
passato	OPPOSITE_OF	futuro
paterno	OPPOSITE_OF	materno
patriarcale	OPPOSITE_OF	matriarcale
paura	OPPOSITE_OF	audacia
paura	OPPOSITE_OF	coraggio
paura	OPPOSITE_OF	sicurezza
pauroso	OPPOSITE_OF	coraggioso
paziente	OPPOSITE_OF	impaziente
paziente	OPPOSITE_OF	insofferente
paziente	OPPOSITE_OF	litigioso
pazienza	OPPOSITE_OF	impazienza
peggioramento	OPPOSITE_OF	progresso
peggiore	OPPOSITE_OF	meglio
penetrabile	OPPOSITE_OF	impenetrabile
pensabile	OPPOSITE_OF	impensabile
penuria	OPPOSITE_OF	larghezza
percettibile	OPPOSITE_OF	impercettibile
perdonabile	OPPOSITE_OF	imperdonabile
perfetto	OPPOSITE_OF	imperfetto
perfezione	OPPOSITE_OF	imperfezione
pericoloso	OPPOSITE_OF	sicuro
perito	OPPOSITE_OF	imperito
perito	OPPOSITE_OF	incapace
perito	OPPOSITE_OF	incompetente
permesso	OPPOSITE_OF	proibito
permesso	OPPOSITE_OF	vietato
permettere	OPPOSITE_OF	impedire
permettere	OPPOSITE_OF	proibire
permettere	OPPOSITE_OF	vietare
personale	OPPOSITE_OF	anonimo
personale	OPPOSITE_OF	impersonale
personale	OPPOSITE_OF	pubblico
pertinente	OPPOSITE_OF	estraneo
pesante	OPPOSITE_OF	leggero
pessimismo	OPPOSITE_OF	ottimismo
pessimistico	OPPOSITE_OF	ottimistico
pessimo	OPPOSITE_OF	buono
pessimo	OPPOSITE_OF	ottimo
piacevole	OPPOSITE_OF	spiacevole
piano	OPPOSITE_OF	forte
piegare	OPPOSITE_OF	spiegare
piegato	OPPOSITE_OF	retto
pieno	OPPOSITE_OF	vuoto
pietoso	OPPOSITE_OF	impietoso
piè	OPPOSITE_OF	intestazione
placabile	OPPOSITE_OF	implacabile
placidità	OPPOSITE_OF	inquietudine
plausibile	OPPOSITE_OF	biasimevole
plausibile	OPPOSITE_OF	disprezzabile
plausibile	OPPOSITE_OF	riprovevole
plurale	OPPOSITE_OF	singolare
poco	OPPOSITE_OF	molto
poggiare	OPPOSITE_OF	orzare
politico	OPPOSITE_OF	apolitico
popolarità	OPPOSITE_OF	impopolarità
posare	OPPOSITE_OF	levare
posare	OPPOSITE_OF	sollevare
posare	OPPOSITE_OF	togliere
positività	OPPOSITE_OF	negatività
positivo	OPPOSITE_OF	negativo
possibile	OPPOSITE_OF	irrealizzabile
posteri	OPPOSITE_OF	avo
posteriore	OPPOSITE_OF	anteriore
posteriore	OPPOSITE_OF	davanti
posteriore	OPPOSITE_OF	frontale
povero	OPPOSITE_OF	ricco
povertà	OPPOSITE_OF	ricchezza
pratica	OPPOSITE_OF	teoria
precedente	OPPOSITE_OF	seguente
precedente	OPPOSITE_OF	successivo
preciso	OPPOSITE_OF	impreciso
prediligere	OPPOSITE_OF	odiare
preferito	OPPOSITE_OF	preterito
pregiare	OPPOSITE_OF	disprezzare
pregiare	OPPOSITE_OF	spregiare
pregio	OPPOSITE_OF	difetto
preludio	OPPOSITE_OF	coda
premiare	OPPOSITE_OF	vendicare
preoccupare	OPPOSITE_OF	rassicurare
prescindibile	OPPOSITE_OF	imprescindibile
presente	OPPOSITE_OF	assente
preterintenzionale	OPPOSITE_OF	intenzionale
preterito	OPPOSITE_OF	preferito
prevedibile	OPPOSITE_OF	imprevedibile
previsto	OPPOSITE_OF	imprevisto
primario	OPPOSITE_OF	minore
primario	OPPOSITE_OF	secondario
primo	OPPOSITE_OF	ultimo
privato	OPPOSITE_OF	demaniale
privato	OPPOSITE_OF	pubblico
probabile	OPPOSITE_OF	improbabile
probabilità	OPPOSITE_OF	improbabilità
produttivo	OPPOSITE_OF	improduttivo
