# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
aumentare	OPPOSITE_OF	diminuire
aumento	OPPOSITE_OF	calo
aumento	OPPOSITE_OF	diminuzione
aurora	OPPOSITE_OF	tramonto
australe	OPPOSITE_OF	boreale
autologo	OPPOSITE_OF	eterologo
autonomo	OPPOSITE_OF	dipendente
avanzare	OPPOSITE_OF	arretrare
avanzare	OPPOSITE_OF	finire
avanzare	OPPOSITE_OF	regredire
avarizia	OPPOSITE_OF	generosità
avo	OPPOSITE_OF	posteri
avo	OPPOSITE_OF	pronipoti
avventatezza	OPPOSITE_OF	cognizione
avventato	OPPOSITE_OF	cauto
avvincente	OPPOSITE_OF	noioso
avvolgere	OPPOSITE_OF	sballare
azzardato	OPPOSITE_OF	cauto
bagnato	OPPOSITE_OF	arido
bagnato	OPPOSITE_OF	secco
banale	OPPOSITE_OF	singolare
banale	OPPOSITE_OF	straordinario
basso	OPPOSITE_OF	alto
basso	OPPOSITE_OF	profondo
battibile	OPPOSITE_OF	imbattibile
battibile	OPPOSITE_OF	invincibile
beato	OPPOSITE_OF	misero
bene	OPPOSITE_OF	male
benestante	OPPOSITE_OF	miserabile
benigno	OPPOSITE_OF	maligno
bianco	OPPOSITE_OF	nero
biasimevole	OPPOSITE_OF	lodevole
biasimevole	OPPOSITE_OF	plausibile
bilanciare	OPPOSITE_OF	sbilanciare
bollente	OPPOSITE_OF	freddo
bollente	OPPOSITE_OF	gelato
bollente	OPPOSITE_OF	ghiaccio
bonarietà	OPPOSITE_OF	rancore
bontà	OPPOSITE_OF	cattiveria
bontà	OPPOSITE_OF	malvagità
boreale	OPPOSITE_OF	australe
breve	OPPOSITE_OF	ampio
breve	OPPOSITE_OF	largo
breve	OPPOSITE_OF	lungo
brutto	OPPOSITE_OF	buono
brutto	OPPOSITE_OF	incantevole
buono	OPPOSITE_OF	brutto
buono	OPPOSITE_OF	cattivo
buono	OPPOSITE_OF	malo
buono	OPPOSITE_OF	malvagio
buono	OPPOSITE_OF	pessimo
